LTER.site	Locale	Species.code	Year	N.Obs	Abundance
KonzaPrairie	grasshopper	Mermiria bivittata	1990	6	26
KonzaPrairie	grasshopper	Mermiria bivittata	1991	8	57
KonzaPrairie	grasshopper	Mermiria bivittata	1996	4	7
KonzaPrairie	grasshopper	Mermiria bivittata	1997	7	26
KonzaPrairie	grasshopper	Mermiria bivittata	1998	6	38
KonzaPrairie	grasshopper	Mermiria bivittata	1999	7	19
KonzaPrairie	grasshopper	Mermiria bivittata	2000	4	21
KonzaPrairie	grasshopper	Mermiria bivittata	2001	6	46
KonzaPrairie	grasshopper	Mermiria bivittata	2002	8	249
KonzaPrairie	grasshopper	Mermiria bivittata	2003	9	173
KonzaPrairie	grasshopper	Mermiria bivittata	2004	8	52
KonzaPrairie	grasshopper	Mermiria bivittata	2005	9	19
KonzaPrairie	grasshopper	Mermiria bivittata	2006	9	20
KonzaPrairie	grasshopper	Mermiria bivittata	2007	7	88
KonzaPrairie	grasshopper	Mermiria bivittata	2008	8	47
KonzaPrairie	grasshopper	Mermiria bivittata	2009	8	27
KonzaPrairie	grasshopper	Mermiria bivittata	2010	7	17
KonzaPrairie	grasshopper	Mermiria bivittata	2011	10	71
KonzaPrairie	grasshopper	Mermiria bivittata	2012	7	112
KonzaPrairie	grasshopper	Mermiria bivittata	2013	0	0
KonzaPrairie	grasshopper	Mermiria bivittata	2014	6	38
KonzaPrairie	grasshopper	Mermiria bivittata	2015	6	42
KonzaPrairie	grasshopper	Mermiria bivittata	2016	10	40
KonzaPrairie	grasshopper	Mermiria bivittata	2017	6	44
KonzaPrairie	grasshopper	Mermiria bivittata	2018	9	29
KonzaPrairie	grasshopper	Mermiria bivittata	2019	9	115
KonzaPrairie	grasshopper	Mermiria bivittata	2020	7	45
KonzaPrairie	grasshopper	Melanoplus keeleri	1982	16	127
KonzaPrairie	grasshopper	Melanoplus keeleri	1983	17	321
KonzaPrairie	grasshopper	Melanoplus keeleri	1984	19	395
KonzaPrairie	grasshopper	Melanoplus keeleri	1985	13	161
KonzaPrairie	grasshopper	Melanoplus keeleri	1986	31	431
KonzaPrairie	grasshopper	Melanoplus keeleri	1987	31	1056
KonzaPrairie	grasshopper	Melanoplus keeleri	1988	8	123
KonzaPrairie	grasshopper	Melanoplus keeleri	1989	4	413
